path,file,round,subject,session,task
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1165_S2_1_VRG.csv,S_1165_S2_1_VRG.csv,1,165,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1067_S1_1_VRG.csv,S_1067_S1_1_VRG.csv,1,67,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1303_S2_1_VRG.csv,S_1303_S2_1_VRG.csv,1,303,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2147_S1_1_VRG.csv,S_2147_S1_1_VRG.csv,2,147,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3438_S2_1_VRG.csv,S_3438_S2_1_VRG.csv,3,438,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1363_S1_1_VRG.csv,S_1363_S1_1_VRG.csv,1,363,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3377_S1_1_VRG.csv,S_3377_S1_1_VRG.csv,3,377,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1276_S2_1_VRG.csv,S_1276_S2_1_VRG.csv,1,276,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1444_S1_1_VRG.csv,S_1444_S1_1_VRG.csv,1,444,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1151_S2_1_VRG.csv,S_1151_S2_1_VRG.csv,1,151,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1218_S1_1_VRG.csv,S_1218_S1_1_VRG.csv,1,218,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1385_S2_1_VRG.csv,S_1385_S2_1_VRG.csv,1,385,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3226_S2_1_VRG.csv,S_3226_S2_1_VRG.csv,3,226,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1210_S2_1_VRG.csv,S_1210_S2_1_VRG.csv,1,210,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3199_S2_1_VRG.csv,S_3199_S2_1_VRG.csv,3,199,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3223_S2_1_VRG.csv,S_3223_S2_1_VRG.csv,3,223,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1448_S2_1_VRG.csv,S_1448_S2_1_VRG.csv,1,448,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3223_S1_1_VRG.csv,S_3223_S1_1_VRG.csv,3,223,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1452_S2_1_VRG.csv,S_1452_S2_1_VRG.csv,1,452,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1120_S1_1_VRG.csv,S_1120_S1_1_VRG.csv,1,120,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1354_S1_1_VRG.csv,S_1354_S1_1_VRG.csv,1,354,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1087_S2_1_VRG.csv,S_1087_S2_1_VRG.csv,1,87,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1087_S1_1_VRG.csv,S_1087_S1_1_VRG.csv,1,87,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1342_S2_1_VRG.csv,S_1342_S2_1_VRG.csv,1,342,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1016_S2_1_VRG.csv,S_1016_S2_1_VRG.csv,1,16,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1395_S2_1_VRG.csv,S_1395_S2_1_VRG.csv,1,395,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1111_S2_1_VRG.csv,S_1111_S2_1_VRG.csv,1,111,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1029_S2_1_VRG.csv,S_1029_S2_1_VRG.csv,1,29,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1423_S2_1_VRG.csv,S_1423_S2_1_VRG.csv,1,423,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1077_S2_1_VRG.csv,S_1077_S2_1_VRG.csv,1,77,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1376_S1_1_VRG.csv,S_1376_S1_1_VRG.csv,1,376,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3209_S1_1_VRG.csv,S_3209_S1_1_VRG.csv,3,209,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1161_S1_1_VRG.csv,S_1161_S1_1_VRG.csv,1,161,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3308_S1_1_VRG.csv,S_3308_S1_1_VRG.csv,3,308,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1271_S1_1_VRG.csv,S_1271_S1_1_VRG.csv,1,271,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1380_S1_1_VRG.csv,S_1380_S1_1_VRG.csv,1,380,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1086_S1_1_VRG.csv,S_1086_S1_1_VRG.csv,1,86,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1464_S1_1_VRG.csv,S_1464_S1_1_VRG.csv,1,464,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1043_S1_1_VRG.csv,S_1043_S1_1_VRG.csv,1,43,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1307_S2_1_VRG.csv,S_1307_S2_1_VRG.csv,1,307,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1412_S2_1_VRG.csv,S_1412_S2_1_VRG.csv,1,412,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1426_S2_1_VRG.csv,S_1426_S2_1_VRG.csv,1,426,2,VRG
